Timestamp;Temperature (°C);Heat (V);Fan (V)
07.05.2024 10:53;32,65;5;4,933133463
07.05.2024 10:53;32,65;5;4,933133463
07.05.2024 10:53;32,65;5;4,933133463
07.05.2024 10:53;32,63;5;4,933133463
07.05.2024 10:53;32,63;0;4,933133463
07.05.2024 10:53;32,6;0;4,933133463
07.05.2024 10:53;32,39;0;4,933133463
07.05.2024 10:53;32,4;5;4,933133463
07.05.2024 10:53;32,4;5;4,933133463
07.05.2024 10:53;32,36;5;4,933133463
07.05.2024 10:53;32,34;5;4,933133463
07.05.2024 10:53;32,28;0;4,933133463
07.05.2024 10:53;32,25;0;4,933133463
07.05.2024 10:53;32,21;0;4,933133463
07.05.2024 10:53;32,22;0;4,933133463
07.05.2024 10:53;32,21;5;4,933133463
07.05.2024 10:53;32,21;5;4,933133463
07.05.2024 10:53;32,2;5;4,933133463
07.05.2024 10:53;32,17;5;4,933133463
07.05.2024 10:53;32,14;0;4,933133463
07.05.2024 10:53;32,11;0;4,933133463
07.05.2024 10:53;32,11;0;4,933133463
07.05.2024 10:53;32,12;0;4,933133463
07.05.2024 10:53;32,12;5;4,933133463
07.05.2024 10:53;32,12;5;4,933133463
07.05.2024 10:53;32,12;5;4,943326157
07.05.2024 10:53;32,07;5;4,933133463
07.05.2024 10:53;32,04;0;4,933133463
07.05.2024 10:53;32,03;0;4,933133463
07.05.2024 10:53;32,03;0;4,933133463
07.05.2024 10:53;32,03;0;4,933133463
07.05.2024 10:53;32,04;5;4,933133463
07.05.2024 10:53;32,04;5;4,933133463
07.05.2024 10:53;32,04;5;4,933133463
07.05.2024 10:53;32,03;5;4,933133463
07.05.2024 10:53;32;0;4,933133463
07.05.2024 10:53;32;0;4,933133463
07.05.2024 10:53;31,97;0;4,933133463
07.05.2024 10:53;31,97;0;4,933133463
07.05.2024 10:53;31,97;5;4,933133463
07.05.2024 10:53;31,98;5;4,933133463
07.05.2024 10:53;31,97;5;4,933133463
07.05.2024 10:53;31,95;5;4,933133463
07.05.2024 10:53;31,93;0;4,943326157
07.05.2024 10:53;31,89;0;4,933133463
07.05.2024 10:53;31,89;0;4,933133463
07.05.2024 10:53;31,92;5;4,933133463
07.05.2024 10:53;31,93;5;4,933133463
07.05.2024 10:53;31,93;5;4,933133463
07.05.2024 10:53;31,9;5;4,933133463
07.05.2024 10:53;31,89;0;4,933133463
07.05.2024 10:53;31,86;0;4,933133463
07.05.2024 10:53;31,85;0;4,933133463
07.05.2024 10:53;31,86;0;4,933133463
07.05.2024 10:53;31,89;5;4,933133463
07.05.2024 10:53;31,92;5;4,657930707
07.05.2024 10:53;31,92;5;2,853823751
07.05.2024 10:53;31,9;5;2,660162552
07.05.2024 10:53;31,89;0;2,558235605
07.05.2024 10:53;31,89;0;2,507272132
07.05.2024 10:53;31,88;0;2,476694048
07.05.2024 10:53;31,89;0;2,466501353
07.05.2024 10:53;31,92;5;2,446115964
07.05.2024 10:53;31,93;5;2,435923269
07.05.2024 10:53;31,92;5;2,425730575
07.05.2024 10:53;31,9;5;2,435923269
07.05.2024 10:53;31,89;0;2,435923269
07.05.2024 10:53;31,9;0;2,41553788
07.05.2024 10:53;31,92;0;2,425730575
07.05.2024 10:53;31,94;0;2,425730575
07.05.2024 10:53;31,98;5;2,425730575
07.05.2024 10:53;32,02;5;2,435923269
07.05.2024 10:53;32,03;5;2,425730575
